case,date,arrivals,capacity,opening_backlog,completed_on_time,completed_late,closing_backlog,past_due_at_close
deduplicated_sensitivity_w6_a2_r40_d1,2023-06-07,1544,1088,6482,0,1088,6938,6938
deduplicated_sensitivity_w6_a2_r40_d1,2023-06-08,122,1088,6938,0,1088,5972,5972
deduplicated_sensitivity_w6_a2_r40_d1,2023-06-09,708,1088,5972,0,1088,5592,5592
deduplicated_sensitivity_w6_a2_r40_d1,2023-06-10,0,0,5592,0,0,5592,5592
deduplicated_sensitivity_w6_a2_r40_d1,2023-06-11,0,0,5592,0,0,5592,5592
deduplicated_sensitivity_w6_a2_r40_d1,2023-06-12,1282,1088,5592,0,1088,5786,5786
deduplicated_sensitivity_w6_a2_r40_d1,2023-06-13,521,1088,5786,0,1088,5219,5219
deduplicated_sensitivity_w6_a2_r40_d1,2023-06-14,2095,1088,5219,0,1088,6226,6226
deduplicated_sensitivity_w6_a2_r40_d1,2023-06-15,478,1088,6226,0,1088,5616,5616
deduplicated_sensitivity_w6_a2_r40_d1,2023-06-16,143,1088,5616,0,1088,4671,4671
deduplicated_sensitivity_w6_a2_r40_d1,2023-06-17,0,0,4671,0,0,4671,4671
deduplicated_sensitivity_w6_a2_r40_d1,2023-06-18,0,0,4671,0,0,4671,4671
deduplicated_sensitivity_w6_a2_r40_d1,2023-06-19,1981,1088,4671,0,1088,5564,5564
deduplicated_sensitivity_w6_a2_r40_d1,2023-06-20,679,1088,5564,0,1088,5155,5155
deduplicated_sensitivity_w6_a2_r40_d1,2023-06-21,536,1088,5155,0,1088,4603,4603
deduplicated_sensitivity_w6_a2_r40_d1,2023-06-22,517,1088,4603,0,1088,4032,4032
deduplicated_sensitivity_w6_a2_r40_d1,2023-06-23,0,1088,4032,0,1088,2944,2944
deduplicated_sensitivity_w6_a2_r40_d1,2023-06-24,0,0,2944,0,0,2944,2944
deduplicated_sensitivity_w6_a2_r40_d1,2023-06-25,0,0,2944,0,0,2944,2944
deduplicated_sensitivity_w6_a2_r40_d1,2023-06-26,2050,1088,2944,0,1088,3906,3906
deduplicated_sensitivity_w6_a2_r40_d1,2023-06-27,1895,1088,3906,0,1088,4713,4713
deduplicated_sensitivity_w6_a2_r40_d1,2023-06-28,636,1088,4713,0,1088,4261,4261
deduplicated_sensitivity_w6_a2_r40_d1,2023-06-29,186,1088,4261,0,1088,3359,3359
deduplicated_sensitivity_w6_a2_r40_d1,2023-06-30,515,1088,3359,0,1088,2786,2786
deduplicated_sensitivity_w6_a2_r40_d1,2023-07-01,0,0,2786,0,0,2786,2786
deduplicated_sensitivity_w6_a2_r40_d1,2023-07-02,0,0,2786,0,0,2786,2786
deduplicated_sensitivity_w6_a2_r40_d1,2023-07-03,1355,1088,2786,0,1088,3053,3053
deduplicated_sensitivity_w6_a2_r40_d1,2023-07-04,1260,1088,3053,0,1088,3225,3225
deduplicated_sensitivity_w6_a2_r40_d1,2023-07-05,0,1088,3225,0,1088,2137,2137
deduplicated_sensitivity_w6_a2_r40_d1,2023-07-06,2395,1088,2137,0,1088,3444,3444
deduplicated_sensitivity_w6_a2_r40_d1,2023-07-07,180,1088,3444,0,1088,2536,2536
deduplicated_sensitivity_w6_a2_r40_d1,2023-07-08,0,0,2536,0,0,2536,2536
deduplicated_sensitivity_w6_a2_r40_d1,2023-07-09,0,0,2536,0,0,2536,2536
deduplicated_sensitivity_w6_a2_r40_d1,2023-07-10,952,1088,2536,0,1088,2400,2400
deduplicated_sensitivity_w6_a2_r40_d1,2023-07-11,1711,1088,2400,0,1088,3023,3023
deduplicated_sensitivity_w6_a2_r40_d1,2023-07-12,1009,1088,3023,0,1088,2944,2944
deduplicated_sensitivity_w6_a2_r40_d1,2023-07-13,549,1088,2944,0,1088,2405,2405
deduplicated_sensitivity_w6_a2_r40_d1,2023-07-14,0,1088,2405,0,1088,1317,1317
deduplicated_sensitivity_w6_a2_r40_d1,2023-07-15,0,0,1317,0,0,1317,1317
deduplicated_sensitivity_w6_a2_r40_d1,2023-07-16,0,0,1317,0,0,1317,1317
deduplicated_sensitivity_w6_a2_r40_d1,2023-07-17,1685,1088,1317,0,1088,1914,1914
deduplicated_sensitivity_w6_a2_r40_d1,2023-07-18,1697,1088,1914,0,1088,2523,2523
deduplicated_sensitivity_w6_a2_r40_d1,2023-07-19,992,1088,2523,0,1088,2427,2427
deduplicated_sensitivity_w6_a2_r40_d1,2023-07-20,339,1088,2427,0,1088,1678,1678
deduplicated_sensitivity_w6_a2_r40_d1,2023-07-21,0,1088,1678,0,1088,590,590
deduplicated_sensitivity_w6_a2_r40_d1,2023-07-22,0,0,590,0,0,590,590
deduplicated_sensitivity_w6_a2_r40_d1,2023-07-23,0,0,590,0,0,590,590
deduplicated_sensitivity_w6_a2_r40_d1,2023-07-24,1087,1088,590,498,590,589,589
deduplicated_sensitivity_w6_a2_r40_d1,2023-07-25,865,1088,589,499,589,366,366
deduplicated_sensitivity_w6_a2_r40_d1,2023-07-26,469,1088,366,469,366,0,0
deduplicated_sensitivity_w6_a2_r40_d1,2023-07-27,586,1088,0,586,0,0,0
deduplicated_sensitivity_w6_a2_r40_d1,2023-07-28,668,1088,0,668,0,0,0
deduplicated_sensitivity_w6_a2_r40_d1,2023-07-29,0,0,0,0,0,0,0
deduplicated_sensitivity_w6_a2_r40_d1,2023-07-30,0,0,0,0,0,0,0
deduplicated_sensitivity_w6_a2_r40_d1,2023-07-31,590,1088,0,590,0,0,0
deduplicated_sensitivity_w6_a2_r40_d1,2023-08-01,557,1088,0,557,0,0,0
deduplicated_sensitivity_w6_a2_r40_d1,2023-08-02,126,1088,0,126,0,0,0
deduplicated_sensitivity_w6_a2_r40_d1,2023-08-03,549,1088,0,549,0,0,0
deduplicated_sensitivity_w6_a2_r40_d1,2023-08-04,235,1088,0,235,0,0,0
deduplicated_sensitivity_w6_a2_r40_d1,2023-08-05,0,0,0,0,0,0,0
deduplicated_sensitivity_w6_a2_r40_d1,2023-08-06,0,0,0,0,0,0,0
deduplicated_sensitivity_w6_a2_r40_d1,2023-08-07,1728,1088,0,1088,0,640,640
deduplicated_sensitivity_w6_a2_r40_d1,2023-08-08,625,1088,640,448,640,177,177
deduplicated_sensitivity_w6_a2_r40_d1,2023-08-09,573,1088,177,573,177,0,0
deduplicated_sensitivity_w6_a2_r40_d1,2023-08-10,736,1088,0,736,0,0,0
deduplicated_sensitivity_w6_a2_r40_d1,2023-08-11,0,1088,0,0,0,0,0
deduplicated_sensitivity_w6_a2_r40_d1,2023-08-12,0,0,0,0,0,0,0
deduplicated_sensitivity_w6_a2_r40_d1,2023-08-13,1231,0,0,0,0,1231,0
deduplicated_sensitivity_w6_a2_r40_d1,2023-08-14,0,1088,1231,1088,0,143,143
deduplicated_sensitivity_w6_a2_r40_d1,2023-08-15,1238,1088,143,945,143,293,293
deduplicated_sensitivity_w6_a2_r40_d1,2023-08-16,899,1088,293,795,293,104,104
deduplicated_sensitivity_w6_a2_r40_d1,2023-08-17,1202,1088,104,984,104,218,218
deduplicated_sensitivity_w6_a2_r40_d1,2023-08-18,12,1088,218,12,218,0,0
deduplicated_sensitivity_w6_a2_r40_d1,2023-08-19,0,0,0,0,0,0,0
deduplicated_sensitivity_w6_a2_r40_d1,2023-08-20,0,0,0,0,0,0,0
deduplicated_sensitivity_w6_a2_r40_d1,2023-08-21,18,1088,0,18,0,0,0
deduplicated_sensitivity_w6_a2_r40_d1,2023-08-22,4599,1088,0,1088,0,3511,3511
deduplicated_sensitivity_w6_a2_r40_d1,2023-08-23,70,1088,3511,0,1088,2493,2493
