case,basis,workers,absent,present_workers,rate,service_days,arrivals,completed_on_time,completed_late,overdue_unfinished,pending_not_due,on_time_unit_share,target_met,peak_backlog,backlog_unit_days
retained_w9_a2_r30_d2,retained,9,2,7,30.0,2,228195,204541,23654,0,0,0.8963430399439076,False,4483,171981
retained_w9_a2_r40_d1,retained,9,2,7,40.0,1,228195,195079,33116,0,0,0.8548785030346853,False,4007,46676
retained_w9_a2_r40_d2,retained,9,2,7,40.0,2,228195,223748,4447,0,0,0.9805122811630403,True,4007,46676
retained_w9_a2_r50_d1,retained,9,2,7,50.0,1,228195,209939,18256,0,0,0.9199982471132145,False,3531,27462
retained_w9_a2_r50_d2,retained,9,2,7,50.0,2,228195,226457,1738,0,0,0.9923837069173295,True,3531,27462
retained_w10_a0_r30_d1,retained,10,0,10,30.0,1,228195,200456,27739,0,0,0.8784416836477574,False,3871,39504
retained_w10_a0_r30_d2,retained,10,0,10,30.0,2,228195,224578,3617,0,0,0.9841495212427968,True,3871,39504
retained_w10_a0_r40_d1,retained,10,0,10,40.0,1,228195,215307,12888,0,0,0.9435219877736146,False,3191,20787
retained_w10_a0_r40_d2,retained,10,0,10,40.0,2,228195,227724,471,0,0,0.9979359758101624,True,3191,20787
retained_w10_a0_r50_d1,retained,10,0,10,50.0,1,228195,221726,6469,0,0,0.9716514384627183,True,2511,13897
retained_w10_a0_r50_d2,retained,10,0,10,50.0,2,228195,228195,0,0,0,1.0,True,2511,13897
retained_w10_a1_r30_d1,retained,10,1,9,30.0,1,228195,190590,37605,0,0,0.835206731085256,False,4075,54283
retained_w10_a1_r30_d2,retained,10,1,9,30.0,2,228195,222896,5299,0,0,0.9767786323100857,True,4075,54283
retained_w10_a1_r40_d1,retained,10,1,9,40.0,1,228195,211133,17062,0,0,0.9252306141677075,False,3463,25956
retained_w10_a1_r40_d2,retained,10,1,9,40.0,2,228195,226729,1466,0,0,0.9935756699314183,True,3463,25956
retained_w10_a1_r50_d1,retained,10,1,9,50.0,1,228195,218994,9201,0,0,0.9596792217182673,True,2851,16629
retained_w10_a1_r50_d2,retained,10,1,9,50.0,2,228195,228195,0,0,0,1.0,True,2851,16629
retained_w10_a2_r30_d1,retained,10,2,8,30.0,1,228195,167154,61041,0,0,0.7325050943272201,False,4279,93937
retained_w10_a2_r30_d2,retained,10,2,8,30.0,2,228195,218629,9566,0,0,0.9580797125265672,True,4279,93937
retained_w10_a2_r40_d1,retained,10,2,8,40.0,1,228195,204580,23615,0,0,0.8965139464054865,False,3735,34292
retained_w10_a2_r40_d2,retained,10,2,8,40.0,2,228195,225394,2801,0,0,0.9877254102850632,True,3735,34292
retained_w10_a2_r50_d1,retained,10,2,8,50.0,1,228195,215307,12888,0,0,0.9435219877736146,False,3191,20787
retained_w10_a2_r50_d2,retained,10,2,8,50.0,2,228195,227724,471,0,0,0.9979359758101624,True,3191,20787
retained_w11_a0_r30_d1,retained,11,0,11,30.0,1,228195,206496,21699,0,0,0.9049102741076711,False,3667,31832
retained_w11_a0_r30_d2,retained,11,0,11,30.0,2,228195,225802,2393,0,0,0.9895133548061965,True,3667,31832
retained_w11_a0_r40_d1,retained,11,0,11,40.0,1,228195,218370,9825,0,0,0.9569447183330047,True,2919,17253
retained_w11_a0_r40_d2,retained,11,0,11,40.0,2,228195,228195,0,0,0,1.0,True,2919,17253
retained_w11_a0_r50_d1,retained,11,0,11,50.0,1,228195,223476,4719,0,0,0.9793203181489516,True,2171,12147
retained_w11_a0_r50_d2,retained,11,0,11,50.0,2,228195,228195,0,0,0,1.0,True,2171,12147
retained_w11_a1_r30_d1,retained,11,1,10,30.0,1,228195,200456,27739,0,0,0.8784416836477574,False,3871,39504
retained_w11_a1_r30_d2,retained,11,1,10,30.0,2,228195,224578,3617,0,0,0.9841495212427968,True,3871,39504
retained_w11_a1_r40_d1,retained,11,1,10,40.0,1,228195,215307,12888,0,0,0.9435219877736146,False,3191,20787
retained_w11_a1_r40_d2,retained,11,1,10,40.0,2,228195,227724,471,0,0,0.9979359758101624,True,3191,20787
retained_w11_a1_r50_d1,retained,11,1,10,50.0,1,228195,221726,6469,0,0,0.9716514384627183,True,2511,13897
retained_w11_a1_r50_d2,retained,11,1,10,50.0,2,228195,228195,0,0,0,1.0,True,2511,13897
retained_w11_a2_r30_d1,retained,11,2,9,30.0,1,228195,190590,37605,0,0,0.835206731085256,False,4075,54283
retained_w11_a2_r30_d2,retained,11,2,9,30.0,2,228195,222896,5299,0,0,0.9767786323100857,True,4075,54283
retained_w11_a2_r40_d1,retained,11,2,9,40.0,1,228195,211133,17062,0,0,0.9252306141677075,False,3463,25956
retained_w11_a2_r40_d2,retained,11,2,9,40.0,2,228195,226729,1466,0,0,0.9935756699314183,True,3463,25956
retained_w11_a2_r50_d1,retained,11,2,9,50.0,1,228195,218994,9201,0,0,0.9596792217182673,True,2851,16629
retained_w11_a2_r50_d2,retained,11,2,9,50.0,2,228195,228195,0,0,0,1.0,True,2851,16629
retained_w12_a0_r30_d1,retained,12,0,12,30.0,1,228195,211133,17062,0,0,0.9252306141677075,False,3463,25956
retained_w12_a0_r30_d2,retained,12,0,12,30.0,2,228195,226729,1466,0,0,0.9935756699314183,True,3463,25956
retained_w12_a0_r40_d1,retained,12,0,12,40.0,1,228195,220638,7557,0,0,0.966883586406363,True,2647,14985
retained_w12_a0_r40_d2,retained,12,0,12,40.0,2,228195,228195,0,0,0,1.0,True,2647,14985
retained_w12_a0_r50_d1,retained,12,0,12,50.0,1,228195,224578,3617,0,0,0.9841495212427968,True,1920,11045
retained_w12_a0_r50_d2,retained,12,0,12,50.0,2,228195,228195,0,0,0,1.0,True,1920,11045
retained_w12_a1_r30_d1,retained,12,1,11,30.0,1,228195,206496,21699,0,0,0.9049102741076711,False,3667,31832
retained_w12_a1_r30_d2,retained,12,1,11,30.0,2,228195,225802,2393,0,0,0.9895133548061965,True,3667,31832
retained_w12_a1_r40_d1,retained,12,1,11,40.0,1,228195,218370,9825,0,0,0.9569447183330047,True,2919,17253
retained_w12_a1_r40_d2,retained,12,1,11,40.0,2,228195,228195,0,0,0,1.0,True,2919,17253
retained_w12_a1_r50_d1,retained,12,1,11,50.0,1,228195,223476,4719,0,0,0.9793203181489516,True,2171,12147
retained_w12_a1_r50_d2,retained,12,1,11,50.0,2,228195,228195,0,0,0,1.0,True,2171,12147
retained_w12_a2_r30_d1,retained,12,2,10,30.0,1,228195,200456,27739,0,0,0.8784416836477574,False,3871,39504
retained_w12_a2_r30_d2,retained,12,2,10,30.0,2,228195,224578,3617,0,0,0.9841495212427968,True,3871,39504
retained_w12_a2_r40_d1,retained,12,2,10,40.0,1,228195,215307,12888,0,0,0.9435219877736146,False,3191,20787
retained_w12_a2_r40_d2,retained,12,2,10,40.0,2,228195,227724,471,0,0,0.9979359758101624,True,3191,20787
retained_w12_a2_r50_d1,retained,12,2,10,50.0,1,228195,221726,6469,0,0,0.9716514384627183,True,2511,13897
retained_w12_a2_r50_d2,retained,12,2,10,50.0,2,228195,228195,0,0,0,1.0,True,2511,13897
deduplicated_sensitivity_w4_a0_r30_d1,deduplicated_sensitivity,4,0,4,30.0,1,215460,816,183600,31044,0,0.0037872458925090505,False,47746,8909551
deduplicated_sensitivity_w4_a0_r30_d2,deduplicated_sensitivity,4,0,4,30.0,2,215460,1826,182590,31044,0,0.008474890931031282,False,47746,8909551
deduplicated_sensitivity_w4_a0_r40_d1,deduplicated_sensitivity,4,0,4,40.0,1,215460,28685,186775,0,0,0.1331337603267428,False,7602,839713
