case_key,period,policy,basis,lead_days,demand_start,demand_end,cost_end,target_share,evidence,workers,absent,present_workers,rate,service_days,arrivals,completed_on_time,completed_late,overdue_unfinished,pending_not_due,on_time_unit_share,target_met,peak_backlog,backlog_unit_days,total_cost
full|extra0_ot0_temps0|deduplicated_sensitivity|50.0|0|1,full,extra0_ot0_temps0,deduplicated_sensitivity,1,2023-01-05,2023-10-19,2023-11-16,0.95,Hypothetical historical replay,6,0,6,50.0,2,215460,211844,3616,0,0,0.9832173025155482,True,3870,30205,238656.0
full|extra0_ot0_temps0|deduplicated_sensitivity|50.0|0|3,full,extra0_ot0_temps0,deduplicated_sensitivity,3,2023-01-05,2023-10-19,2023-11-16,0.95,Hypothetical historical replay,6,0,6,50.0,2,215460,211844,3616,0,0,0.9832173025155482,True,3870,30205,238656.0
full|extra0_ot0_temps0|deduplicated_sensitivity|50.0|1|1,full,extra0_ot0_temps0,deduplicated_sensitivity,1,2023-01-05,2023-10-19,2023-11-16,0.95,Hypothetical historical replay,6,1,5,50.0,2,215460,208569,6891,0,0,0.9680172653856864,True,4210,59773,238656.0
full|extra0_ot0_temps0|deduplicated_sensitivity|50.0|1|3,full,extra0_ot0_temps0,deduplicated_sensitivity,3,2023-01-05,2023-10-19,2023-11-16,0.95,Hypothetical historical replay,6,1,5,50.0,2,215460,208569,6891,0,0,0.9680172653856864,True,4210,59773,238656.0
full|extra0_ot0_temps0|deduplicated_sensitivity|50.0|2|1,full,extra0_ot0_temps0,deduplicated_sensitivity,1,2023-01-05,2023-10-19,2023-11-16,0.95,Hypothetical historical replay,6,2,4,50.0,2,215460,191261,24199,0,0,0.8876868096166342,False,4550,160617,238656.0
full|extra0_ot0_temps0|deduplicated_sensitivity|50.0|2|3,full,extra0_ot0_temps0,deduplicated_sensitivity,3,2023-01-05,2023-10-19,2023-11-16,0.95,Hypothetical historical replay,6,2,4,50.0,2,215460,191261,24199,0,0,0.8876868096166342,False,4550,160617,238656.0
full|extra0_ot0_temps2|retained|30.0|0|1,full,extra0_ot0_temps2,retained,1,2023-01-05,2023-10-19,2023-11-16,0.95,Hypothetical historical replay,6,0,6,30.0,2,228195,203557,24638,0,0,0.8920309384517627,False,4687,210208,262416.0
full|extra0_ot0_temps2|retained|30.0|0|3,full,extra0_ot0_temps2,retained,3,2023-01-05,2023-10-19,2023-11-16,0.95,Hypothetical historical replay,6,0,6,30.0,2,228195,140535,87660,0,0,0.6158548609741669,False,4687,372366,241296.0
full|extra0_ot0_temps2|retained|30.0|1|1,full,extra0_ot0_temps2,retained,1,2023-01-05,2023-10-19,2023-11-16,0.95,Hypothetical historical replay,6,1,5,30.0,2,228195,154910,73285,0,0,0.6788492298253687,False,4891,351413,286896.0
full|extra0_ot0_temps2|retained|30.0|1|3,full,extra0_ot0_temps2,retained,3,2023-01-05,2023-10-19,2023-11-16,0.95,Hypothetical historical replay,6,1,5,30.0,2,228195,38895,189300,0,0,0.17044632879773877,False,6560,772758,272976.0
full|extra0_ot0_temps2|retained|30.0|2|1,full,extra0_ot0_temps2,retained,1,2023-01-05,2023-10-19,2023-11-16,0.95,Hypothetical historical replay,6,2,4,30.0,2,228195,34445,193750,0,0,0.15094546330988848,False,8790,1123124,327936.0
full|extra0_ot0_temps2|retained|30.0|2|3,full,extra0_ot0_temps2,retained,3,2023-01-05,2023-10-19,2023-11-16,0.95,Hypothetical historical replay,6,2,4,30.0,2,228195,9021,219174,0,0,0.039531979228291596,False,11072,1646477,322656.0
full|extra0_ot0_temps2|retained|40.0|0|1,full,extra0_ot0_temps2,retained,1,2023-01-05,2023-10-19,2023-11-16,0.95,Hypothetical historical replay,6,0,6,40.0,2,228195,222881,5314,0,0,0.9767128990556323,True,4279,75230,243456.0
full|extra0_ot0_temps2|retained|40.0|0|3,full,extra0_ot0_temps2,retained,3,2023-01-05,2023-10-19,2023-11-16,0.95,Hypothetical historical replay,6,0,6,40.0,2,228195,218629,9566,0,0,0.9580797125265672,True,4279,93937,238656.0
full|extra0_ot0_temps2|retained|40.0|1|1,full,extra0_ot0_temps2,retained,1,2023-01-05,2023-10-19,2023-11-16,0.95,Hypothetical historical replay,6,1,5,40.0,2,228195,217294,10901,0,0,0.9522294528802121,True,4551,147824,250176.0
full|extra0_ot0_temps2|retained|40.0|1|3,full,extra0_ot0_temps2,retained,3,2023-01-05,2023-10-19,2023-11-16,0.95,Hypothetical historical replay,6,1,5,40.0,2,228195,193216,34979,0,0,0.8467144328315694,False,4551,218238,239136.0
full|extra0_ot0_temps2|retained|40.0|2|1,full,extra0_ot0_temps2,retained,1,2023-01-05,2023-10-19,2023-11-16,0.95,Hypothetical historical replay,6,2,4,40.0,2,228195,195415,32780,0,0,0.856350927934442,False,4823,249447,271296.0
full|extra0_ot0_temps2|retained|40.0|2|3,full,extra0_ot0_temps2,retained,3,2023-01-05,2023-10-19,2023-11-16,0.95,Hypothetical historical replay,6,2,4,40.0,2,228195,74688,153507,0,0,0.32729902057450866,False,5920,611223,253056.0
full|extra0_ot0_temps2|retained|50.0|0|1,full,extra0_ot0_temps2,retained,1,2023-01-05,2023-10-19,2023-11-16,0.95,Hypothetical historical replay,6,0,6,50.0,2,228195,226185,2010,0,0,0.9911917439032406,True,3871,37328,240096.0
full|extra0_ot0_temps2|retained|50.0|0|3,full,extra0_ot0_temps2,retained,3,2023-01-05,2023-10-19,2023-11-16,0.95,Hypothetical historical replay,6,0,6,50.0,2,228195,224578,3617,0,0,0.9841495212427968,True,3871,39504,238656.0
full|extra0_ot0_temps2|retained|50.0|1|1,full,extra0_ot0_temps2,retained,1,2023-01-05,2023-10-19,2023-11-16,0.95,Hypothetical historical replay,6,1,5,50.0,2,228195,224170,4025,0,0,0.9823615767216635,True,4211,63051,242256.0
full|extra0_ot0_temps2|retained|50.0|1|3,full,extra0_ot0_temps2,retained,3,2023-01-05,2023-10-19,2023-11-16,0.95,Hypothetical historical replay,6,1,5,50.0,2,228195,220533,7662,0,0,0.966423453625189,True,4211,77716,238656.0
full|extra0_ot0_temps2|retained|50.0|2|1,full,extra0_ot0_temps2,retained,1,2023-01-05,2023-10-19,2023-11-16,0.95,Hypothetical historical replay,6,2,4,50.0,2,228195,218629,9566,0,0,0.9580797125265672,True,4551,141060,249216.0
full|extra0_ot0_temps2|retained|50.0|2|3,full,extra0_ot0_temps2,retained,3,2023-01-05,2023-10-19,2023-11-16,0.95,Hypothetical historical replay,6,2,4,50.0,2,228195,193271,34924,0,0,0.8469554547645654,False,4551,217964,239136.0
full|extra0_ot0_temps2|deduplicated_sensitivity|30.0|0|1,full,extra0_ot0_temps2,deduplicated_sensitivity,1,2023-01-05,2023-10-19,2023-11-16,0.95,Hypothetical historical replay,6,0,6,30.0,2,215460,198608,16852,0,0,0.9217859463473499,False,4686,167225,255216.0
