source_line,order_id,units,wave
18262,119646,5,41778
18263,119646,5,41778
18264,119646,5,41778
18266,119646,5,41777
18267,119646,5,41777
18268,119646,5,41777
18269,119646,5,41777
18271,119646,5,41776
18272,119646,5,41776
18273,119646,5,41776
18274,119646,5,41776
18276,119646,5,41775
18277,119646,5,41775
18278,119646,5,41775
18279,119646,5,41775
18281,119646,5,41774
18282,119646,5,41774
18284,119646,5,41774
18286,119646,5,41773
18287,119646,5,41773
18288,119646,5,41773
18289,119646,5,41773
18292,119646,5,41772
18293,119646,5,41772
18294,119646,5,41772
18296,119646,5,41771
18297,119646,5,41771
18298,119646,5,41771
18299,119646,5,41771
18301,119646,5,41770
18302,119646,5,41770
18303,119646,5,41770
18304,119646,5,41770
18306,119646,5,41769
18307,119646,5,41769
18308,119646,5,41769
18309,119646,5,41769
18311,119646,5,41768
18312,119646,5,41768
18313,119646,5,41768
18314,119646,5,41768
18316,119646,5,41767
18317,119646,5,41767
18318,119646,5,41767
18319,119646,5,41767
18321,119646,5,41766
18322,119646,5,41766
18323,119646,5,41766
18324,119646,5,41766
18326,119646,5,41765
18327,119646,5,41765
18328,119646,5,41765
18329,119646,5,41765
18331,119646,5,41764
18332,119646,5,41764
18333,119646,5,41764
18334,119646,5,41764
18336,119646,5,41763
18337,119646,5,41763
18338,119646,5,41763
18341,119646,5,41762
18342,119646,5,41762
18343,119646,5,41762
18344,119646,5,41762
18346,119646,5,41761
18348,119646,5,41761
18349,119646,5,41761
18351,119646,5,41760
18352,119646,5,41760
18353,119646,5,41760
18354,119646,5,41760
25328,117631,5,41197
25330,117631,5,41197
25331,117631,5,41197
25334,117631,5,41196
25335,117631,5,41196
25336,117631,5,41196
25339,117631,5,41195
25340,117631,5,41195
25341,117631,5,41195
25343,117631,5,41194
25344,117631,5,41194
25345,117631,5,41194
25349,117631,5,41193
25350,117631,5,41193
25353,117631,5,41192
25355,117631,5,41192
38683,112995,1,40165
44018,111476,5,39737
44019,111476,5,39737
44022,111476,5,39736
44023,111476,5,39736
44027,111476,5,39735
44028,111476,5,39735
44029,111476,5,39735
44030,111476,5,39735
44032,111476,5,39734
44033,111476,5,39734
44035,111476,5,39734
44037,111476,5,39733
44038,111476,5,39733
44040,111476,5,39733
44042,111476,5,39732
44043,111476,5,39732
44044,111476,5,39732
44045,111476,5,39732
44047,111476,5,39731
44048,111476,5,39731
44049,111476,5,39731
44050,111476,5,39731
44052,111476,5,39730
44053,111476,5,39730
44054,111476,5,39730
44055,111476,5,39730
44057,111476,5,39729
44058,111476,5,39729
44060,111476,5,39729
44062,111476,5,39728
44063,111476,5,39728
44064,111476,5,39728
44065,111476,5,39728
44067,111476,5,39727
44068,111476,5,39727
44069,111476,5,39727
44070,111476,5,39727
44072,111476,5,39726
44073,111476,5,39726
44074,111476,5,39726
44075,111476,5,39726
44077,111476,5,39725
44078,111476,5,39725
44079,111476,5,39725
44080,111476,5,39725
44082,111476,5,39724
44083,111476,5,39724
44084,111476,5,39724
44085,111476,5,39724
44087,111476,5,39723
44088,111476,5,39723
44089,111476,5,39723
44090,111476,5,39723
44092,111476,5,39722
44093,111476,5,39722
44094,111476,5,39722
44095,111476,5,39722
44097,111476,5,39721
44098,111476,5,39721
44099,111476,5,39721
44100,111476,5,39721
44102,111476,5,39720
44103,111476,5,39720
44104,111476,5,39720
44105,111476,5,39720
44107,111476,5,39719
44108,111476,5,39719
44109,111476,5,39719
44110,111476,5,39719
44112,111476,5,39718
44113,111476,5,39718
44114,111476,5,39718
44115,111476,5,39718
44117,111476,5,39717
44118,111476,5,39717
44119,111476,5,39717
44120,111476,5,39717
44123,111476,5,39716
44124,111476,5,39716
44125,111476,5,39716
44127,111476,5,39715
44128,111476,5,39715
44129,111476,5,39715
44130,111476,5,39715
44132,111476,5,39714
44133,111476,5,39714
44134,111476,5,39714
44135,111476,5,39714
44137,111476,5,39713
44138,111476,5,39713
44139,111476,5,39713
44140,111476,5,39713
44142,111476,5,39712
44143,111476,5,39712
44144,111476,5,39712
44145,111476,5,39712
44147,111476,5,39711
44148,111476,5,39711
44149,111476,5,39711
44150,111476,5,39711
44152,111476,5,39710
44153,111476,5,39710
44154,111476,5,39710
44155,111476,5,39710
44157,111476,5,39709
44158,111476,5,39709
44159,111476,5,39709
44160,111476,5,39709
44162,111476,5,39708
44163,111476,5,39708
44164,111476,5,39708
44165,111476,5,39708
44167,111476,5,39707
44168,111476,5,39707
44169,111476,5,39707
44170,111476,5,39707
44172,111476,5,39706
44173,111476,5,39706
44174,111476,5,39706
44175,111476,5,39706
44177,111476,5,39705
44178,111476,5,39705
44179,111476,5,39705
44180,111476,5,39705
44182,111476,5,39704
44183,111476,5,39704
44184,111476,5,39704
44185,111476,5,39704
44187,111476,5,39703
44188,111476,5,39703
44190,111476,5,39703
44192,111476,5,39702
44193,111476,5,39702
44194,111476,5,39702
44195,111476,5,39702
44197,111476,5,39701
44198,111476,5,39701
44199,111476,5,39701
44200,111476,5,39701
44202,111476,5,39700
44203,111476,5,39700
44204,111476,5,39700
44205,111476,5,39700
44207,111476,5,39699
44208,111476,5,39699
44209,111476,5,39699
44210,111476,5,39699
44212,111476,5,39698
44213,111476,5,39698
44214,111476,5,39698
44215,111476,5,39698
44217,111476,5,39697
44218,111476,5,39697
44219,111476,5,39697
44220,111476,5,39697
44223,111476,5,39696
44224,111476,5,39696
44225,111476,5,39696
44227,111476,5,39695
44229,111476,5,39695
44232,111476,5,39694
44233,111476,5,39694
44235,111476,5,39694
44237,111476,5,39693
44238,111476,5,39693
44239,111476,5,39693
44240,111476,5,39693
44242,111476,5,39692
44243,111476,5,39692
44244,111476,5,39692
44245,111476,5,39692
44247,111476,5,39691
44248,111476,5,39691
44249,111476,5,39691
44250,111476,5,39691
44252,111476,5,39690
44253,111476,5,39690
44254,111476,5,39690
44255,111476,5,39690
44257,111476,5,39689
44258,111476,5,39689
44259,111476,5,39689
44260,111476,5,39689
44262,111476,5,39688
44263,111476,5,39688
44264,111476,5,39688
44265,111476,5,39688
44267,111476,5,39687
44268,111476,5,39687
44269,111476,5,39687
44270,111476,5,39687
44272,111476,5,39686
44273,111476,5,39686
44274,111476,5,39686
44278,111476,5,39685
44279,111476,5,39685
44282,111476,5,39684
44284,111476,5,39684
44287,111476,5,39683
44288,111476,5,39683
44289,111476,5,39683
44290,111476,5,39683
44292,111476,5,39682
44293,111476,5,39682
44294,111476,5,39682
44295,111476,5,39682
44297,111476,5,39681
44298,111476,5,39681
44299,111476,5,39681
44302,111476,5,39680
44303,111476,5,39680
44304,111476,5,39680
44305,111476,5,39680
44307,111476,5,39679
44308,111476,5,39679
44309,111476,5,39679
44310,111476,5,39679
44312,111476,5,39678
44313,111476,5,39678
44314,111476,5,39678
44315,111476,5,39678
44317,111476,5,39677
44318,111476,5,39677
44319,111476,5,39677
44320,111476,5,39677
44322,111476,5,39676
44323,111476,5,39676
44325,111476,5,39676
44327,111476,5,39675
44328,111476,5,39675
44329,111476,5,39675
44330,111476,5,39675
44332,111476,5,39674
44333,111476,5,39674
44334,111476,5,39674
44335,111476,5,39674
44337,111476,5,39673
44338,111476,5,39673
44339,111476,5,39673
44340,111476,5,39673
44342,111476,5,39672
44343,111476,5,39672
44344,111476,5,39672
44345,111476,5,39672
44347,111476,5,39671
44348,111476,5,39671
44349,111476,5,39671
44350,111476,5,39671
44352,111476,5,39670
44353,111476,5,39670
44355,111476,5,39670
44357,111476,5,39669
44358,111476,5,39669
44359,111476,5,39669
44362,111476,5,39668
44363,111476,5,39668
44364,111476,5,39668
44365,111476,5,39668
44367,111476,5,39667
44368,111476,5,39667
44369,111476,5,39667
44370,111476,5,39667
44372,111476,5,39666
44373,111476,5,39666
44374,111476,5,39666
44375,111476,5,39666
44377,111476,5,39665
44378,111476,5,39665
44379,111476,5,39665
44380,111476,5,39665
44382,111476,5,39664
44383,111476,5,39664
44384,111476,5,39664
44387,111476,5,39663
44388,111476,5,39663
44389,111476,5,39663
44392,111476,5,39662
44397,111476,5,39661
44398,111476,5,39661
44399,111476,5,39661
44400,111476,5,39661
48074,110346,1,39357
48214,110268,5,39348
48215,110268,5,39348
48216,110268,5,39348
48217,110268,5,39348
48219,110268,5,39347
48220,110268,5,39347
48221,110268,5,39347
48222,110268,5,39347
48224,110268,5,39346
48225,110268,5,39346
48226,110268,5,39346
48229,110268,5,39345
48230,110268,5,39345
48231,110268,5,39345
48232,110268,5,39345
48234,110268,5,39344
48235,110268,5,39344
48236,110268,5,39344
48237,110268,5,39344
48239,110268,5,39343
48240,110268,5,39343
48241,110268,5,39343
48242,110268,5,39343
48244,110268,5,39342
48245,110268,5,39342
48246,110268,5,39342
48247,110268,5,39342
48250,110268,5,39341
48251,110268,5,39341
48252,110268,5,39341
48254,110268,5,39340
48255,110268,5,39340
48256,110268,5,39340
48257,110268,5,39340
48259,110268,5,39339
48260,110268,5,39339
48261,110268,5,39339
48262,110268,5,39339
48264,110268,5,39338
48265,110268,5,39338
48266,110268,5,39338
48267,110268,5,39338
48269,110268,5,39337
48271,110268,5,39337
48272,110268,5,39337
48274,110268,5,39336
48275,110268,5,39336
48276,110268,5,39336
48277,110268,5,39336
48279,110268,5,39335
48280,110268,5,39335
48282,110268,5,39335
48284,110268,5,39334
48285,110268,5,39334
48286,110268,5,39334
48289,110268,5,39333
48290,110268,5,39333
48291,110268,5,39333
48292,110268,5,39333
48294,110268,5,39332
48295,110268,5,39332
48296,110268,5,39332
48297,110268,5,39332
48299,110268,5,39331
48300,110268,5,39331
48301,110268,5,39331
48302,110268,5,39331
48304,110268,5,39330
48305,110268,5,39330
48307,110268,5,39330
48309,110268,5,39329
48310,110268,5,39329
48311,110268,5,39329
48312,110268,5,39329
48314,110268,5,39328
48315,110268,5,39328
48316,110268,5,39328
48317,110268,5,39328
48319,110268,5,39327
48320,110268,5,39327
48321,110268,5,39327
48322,110268,5,39327
48324,110268,5,39326
48325,110268,5,39326
48326,110268,5,39326
48327,110268,5,39326
48329,110268,5,39325
48330,110268,5,39325
48331,110268,5,39325
48332,110268,5,39325
48334,110268,5,39324
48336,110268,5,39324
48337,110268,5,39324
48339,110268,5,39323
48340,110268,5,39323
48341,110268,5,39323
48342,110268,5,39323
48344,110268,5,39322
48345,110268,5,39322
48346,110268,5,39322
48347,110268,5,39322
48349,110268,5,39321
48350,110268,5,39321
48351,110268,5,39321
48352,110268,5,39321
48354,110268,5,39320
48355,110268,5,39320
48356,110268,5,39320
48357,110268,5,39320
48359,110268,5,39319
48360,110268,5,39319
48361,110268,5,39319
48362,110268,5,39319
48364,110268,5,39318
48365,110268,5,39318
48366,110268,5,39318
48367,110268,5,39318
48369,110268,5,39317
48370,110268,5,39317
48371,110268,5,39317
48372,110268,5,39317
48374,110268,5,39316
48375,110268,5,39316
48376,110268,5,39316
48377,110268,5,39316
48379,110268,5,39315
48380,110268,5,39315
48381,110268,5,39315
48382,110268,5,39315
48384,110268,5,39314
48385,110268,5,39314
48386,110268,5,39314
48387,110268,5,39314
48389,110268,5,39313
48390,110268,5,39313
48391,110268,5,39313
48392,110268,5,39313
48394,110268,5,39312
48395,110268,5,39312
48396,110268,5,39312
48397,110268,5,39312
48399,110268,5,39311
48400,110268,5,39311
48401,110268,5,39311
48404,110268,5,39310
48405,110268,5,39310
48406,110268,5,39310
48407,110268,5,39310
48409,110268,5,39309
48410,110268,5,39309
48411,110268,5,39309
48412,110268,5,39309
48414,110268,5,39308
48415,110268,5,39308
48416,110268,5,39308
48417,110268,5,39308
48419,110268,5,39307
48420,110268,5,39307
48421,110268,5,39307
48424,110268,5,39306
48425,110268,5,39306
48426,110268,5,39306
48427,110268,5,39306
48429,110268,5,39305
48430,110268,5,39305
48431,110268,5,39305
48432,110268,5,39305
48434,110268,5,39304
48435,110268,5,39304
48436,110268,5,39304
48437,110268,5,39304
48439,110268,5,39303
48440,110268,5,39303
48441,110268,5,39303
48442,110268,5,39303
48444,110268,5,39302
48445,110268,5,39302
48446,110268,5,39302
48447,110268,5,39302
48449,110268,5,39301
48451,110268,5,39301
48452,110268,5,39301
48454,110268,5,39300
48455,110268,5,39300
48456,110268,5,39300
48457,110268,5,39300
48460,110268,5,39299
48461,110268,5,39299
48462,110268,5,39299
48464,110268,5,39298
48465,110268,5,39298
48466,110268,5,39298
48467,110268,5,39298
48469,110268,5,39297
48470,110268,5,39297
48471,110268,5,39297
48472,110268,5,39297
48474,110268,5,39296
48475,110268,5,39296
48476,110268,5,39296
48477,110268,5,39296
