basis,rate,policy,date,arrivals,capacity,extra_paid_hours,opening_backlog,completed,closing_backlog,unused_capacity,oldest_backlog_days
retained,30,carryover,2023-05-30,1585,1224,0,3521,1224,3882,0,4
retained,30,carryover,2023-05-31,1369,1224,0,3882,1224,4027,0,2
retained,30,carryover,2023-06-01,709,1224,0,4027,1224,3512,0,2
retained,30,carryover,2023-06-02,117,1224,0,3512,1224,2405,0,3
retained,30,carryover,2023-06-03,0,0,0,2405,0,2405,0,4
retained,30,carryover,2023-06-04,0,0,0,2405,0,2405,0,5
retained,30,carryover,2023-06-05,1450,1224,0,2405,1224,2631,0,5
retained,30,carryover,2023-06-06,956,1224,0,2631,1224,2363,0,1
retained,30,carryover,2023-06-07,3004,1224,0,2363,1224,4143,0,2
retained,30,carryover,2023-06-08,122,1224,0,4143,1224,3041,0,1
retained,30,carryover,2023-06-09,708,1224,0,3041,1224,2525,0,2
retained,30,carryover,2023-06-10,0,0,0,2525,0,2525,0,3
retained,30,carryover,2023-06-11,0,0,0,2525,0,2525,0,4
retained,30,carryover,2023-06-12,1282,1224,0,2525,1224,2583,0,5
retained,30,carryover,2023-06-13,521,1224,0,2583,1224,1880,0,4
retained,30,carryover,2023-06-14,2095,1224,0,1880,1224,2751,0,2
retained,30,carryover,2023-06-15,478,1224,0,2751,1224,2005,0,1
retained,30,carryover,2023-06-16,143,1224,0,2005,1224,924,0,2
retained,30,carryover,2023-06-17,0,0,0,924,0,924,0,3
retained,30,carryover,2023-06-18,0,0,0,924,0,924,0,4
retained,30,carryover,2023-06-19,3416,1224,0,924,1224,3116,0,0
retained,30,carryover,2023-06-20,680,1224,0,3116,1224,2572,0,1
retained,30,carryover,2023-06-21,536,1224,0,2572,1224,1884,0,2
retained,30,carryover,2023-06-22,517,1224,0,1884,1224,1177,0,2
retained,30,carryover,2023-06-23,0,1224,0,1177,1177,0,47,0
retained,30,carryover,2023-06-24,0,0,0,0,0,0,0,0
retained,30,carryover,2023-06-25,0,0,0,0,0,0,0,0
retained,30,carryover,2023-06-26,2050,1224,0,0,1224,826,0,0
retained,30,carryover,2023-06-27,1895,1224,0,826,1224,1497,0,0
retained,30,carryover,2023-06-28,636,1224,0,1497,1224,909,0,1
retained,30,carryover,2023-06-29,186,1224,0,909,1095,0,129,0
retained,30,carryover,2023-06-30,1920,1224,0,0,1224,696,0,0
retained,30,carryover,2023-07-01,0,0,0,696,0,696,0,1
retained,30,carryover,2023-07-02,0,0,0,696,0,696,0,2
retained,30,carryover,2023-07-03,1355,1224,0,696,1224,827,0,0
retained,30,carryover,2023-07-04,1260,1224,0,827,1224,863,0,0
retained,30,carryover,2023-07-05,0,1224,0,863,863,0,361,0
retained,30,carryover,2023-07-06,2395,1224,0,0,1224,1171,0,0
retained,30,carryover,2023-07-07,180,1224,0,1171,1224,127,0,0
retained,30,carryover,2023-07-08,0,0,0,127,0,127,0,1
retained,30,carryover,2023-07-09,0,0,0,127,0,127,0,2
retained,30,carryover,2023-07-10,952,1224,0,127,1079,0,145,0
retained,30,carryover,2023-07-11,1711,1224,0,0,1224,487,0,0
retained,30,carryover,2023-07-12,1009,1224,0,487,1224,272,0,0
retained,30,carryover,2023-07-13,550,1224,0,272,822,0,402,0
retained,30,carryover,2023-07-14,0,1224,0,0,0,0,1224,0
retained,30,carryover,2023-07-15,0,0,0,0,0,0,0,0
retained,30,carryover,2023-07-16,0,0,0,0,0,0,0,0
retained,30,carryover,2023-07-17,1685,1224,0,0,1224,461,0,0
retained,30,carryover,2023-07-18,1697,1224,0,461,1224,934,0,0
retained,30,carryover,2023-07-19,992,1224,0,934,1224,702,0,0
retained,30,carryover,2023-07-20,339,1224,0,702,1041,0,183,0
retained,30,carryover,2023-07-21,0,1224,0,0,0,0,1224,0
retained,30,carryover,2023-07-22,0,0,0,0,0,0,0,0
retained,30,carryover,2023-07-23,0,0,0,0,0,0,0,0
retained,30,carryover,2023-07-24,1087,1224,0,0,1087,0,137,0
retained,30,carryover,2023-07-25,865,1224,0,0,865,0,359,0
retained,30,carryover,2023-07-26,469,1224,0,0,469,0,755,0
retained,30,carryover,2023-07-27,586,1224,0,0,586,0,638,0
retained,30,carryover,2023-07-28,668,1224,0,0,668,0,556,0
retained,30,carryover,2023-07-29,0,0,0,0,0,0,0,0
retained,30,carryover,2023-07-30,0,0,0,0,0,0,0,0
retained,30,carryover,2023-07-31,590,1224,0,0,590,0,634,0
retained,30,carryover,2023-08-01,557,1224,0,0,557,0,667,0
retained,30,carryover,2023-08-02,126,1224,0,0,126,0,1098,0
retained,30,carryover,2023-08-03,549,1224,0,0,549,0,675,0
retained,30,carryover,2023-08-04,235,1224,0,0,235,0,989,0
retained,30,carryover,2023-08-05,0,0,0,0,0,0,0,0
retained,30,carryover,2023-08-06,0,0,0,0,0,0,0,0
retained,30,carryover,2023-08-07,1728,1224,0,0,1224,504,0,0
retained,30,carryover,2023-08-08,625,1224,0,504,1129,0,95,0
retained,30,carryover,2023-08-09,573,1224,0,0,573,0,651,0
retained,30,carryover,2023-08-10,736,1224,0,0,736,0,488,0
retained,30,carryover,2023-08-11,0,1224,0,0,0,0,1224,0
retained,30,carryover,2023-08-12,0,0,0,0,0,0,0,0
retained,30,carryover,2023-08-13,1231,0,0,0,0,1231,0,0
retained,30,carryover,2023-08-14,0,1224,0,1231,1224,7,0,1
retained,30,carryover,2023-08-15,1238,1224,0,7,1224,21,0,0
retained,30,carryover,2023-08-16,899,1224,0,21,920,0,304,0
retained,30,carryover,2023-08-17,1202,1224,0,0,1202,0,22,0
retained,30,carryover,2023-08-18,12,1224,0,0,12,0,1212,0
retained,30,carryover,2023-08-19,0,0,0,0,0,0,0,0
retained,30,carryover,2023-08-20,0,0,0,0,0,0,0,0
retained,30,carryover,2023-08-21,18,1224,0,0,18,0,1206,0
retained,30,carryover,2023-08-22,4599,1224,0,0,1224,3375,0,0
retained,30,carryover,2023-08-23,150,1224,0,3375,1224,2301,0,1
retained,30,carryover,2023-08-24,2856,1224,0,2301,1224,3933,0,2
retained,30,carryover,2023-08-25,0,1224,0,3933,1224,2709,0,1
retained,30,carryover,2023-08-26,0,0,0,2709,0,2709,0,2
retained,30,carryover,2023-08-27,0,0,0,2709,0,2709,0,3
retained,30,carryover,2023-08-28,2483,1224,0,2709,1224,3968,0,4
retained,30,carryover,2023-08-29,615,1224,0,3968,1224,3359,0,5
retained,30,carryover,2023-08-30,1178,1224,0,3359,1224,3313,0,2
retained,30,carryover,2023-08-31,1595,1224,0,3313,1224,3684,0,3
retained,30,carryover,2023-09-01,1147,1224,0,3684,1224,3607,0,2
retained,30,carryover,2023-09-02,0,0,0,3607,0,3607,0,3
retained,30,carryover,2023-09-03,0,0,0,3607,0,3607,0,4
retained,30,carryover,2023-09-04,0,1224,0,3607,1224,2383,0,4
retained,30,carryover,2023-09-05,1323,1224,0,2383,1224,2482,0,5
retained,30,carryover,2023-09-06,826,1224,0,2482,1224,2084,0,1
retained,30,carryover,2023-09-07,802,1224,0,2084,1224,1662,0,2
retained,30,carryover,2023-09-08,375,1224,0,1662,1224,813,0,1
retained,30,carryover,2023-09-09,0,0,0,813,0,813,0,2
retained,30,carryover,2023-09-10,1920,0,0,813,0,2733,0,3
retained,30,carryover,2023-09-11,0,1224,0,2733,1224,1509,0,1
retained,30,carryover,2023-09-12,2188,1224,0,1509,1224,2473,0,2
retained,30,carryover,2023-09-13,1403,1224,0,2473,1224,2652,0,1
retained,30,carryover,2023-09-14,0,1224,0,2652,1224,1428,0,2
retained,30,carryover,2023-09-15,0,1224,0,1428,1224,204,0,2
retained,30,carryover,2023-09-16,0,0,0,204,0,204,0,3
retained,30,carryover,2023-09-17,1920,0,0,204,0,2124,0,4
retained,30,carryover,2023-09-18,32,1224,0,2124,1224,932,0,1
retained,30,carryover,2023-09-19,3603,1224,0,932,1224,3311,0,0
retained,30,carryover,2023-09-20,0,1224,0,3311,1224,2087,0,1
retained,30,carryover,2023-09-21,2785,1224,0,2087,1224,3648,0,2
retained,30,carryover,2023-09-22,0,1224,0,3648,1224,2424,0,1
retained,30,carryover,2023-09-23,0,0,0,2424,0,2424,0,2
retained,30,carryover,2023-09-24,0,0,0,2424,0,2424,0,3
retained,30,carryover,2023-09-25,2379,1224,0,2424,1224,3579,0,4
retained,30,carryover,2023-09-26,131,1224,0,3579,1224,2486,0,1
retained,30,carryover,2023-09-27,0,1224,0,2486,1224,1262,0,2
retained,30,carryover,2023-09-28,0,1224,0,1262,1224,38,0,2
retained,30,carryover,2023-09-29,108,1224,0,38,146,0,1078,0
retained,30,carryover,2023-09-30,0,0,0,0,0,0,0,0
retained,30,carryover,2023-10-01,0,0,0,0,0,0,0,0
retained,30,carryover,2023-10-02,5347,1224,0,0,1224,4123,0,0
retained,30,carryover,2023-10-03,136,1224,0,4123,1224,3035,0,1
retained,30,carryover,2023-10-04,60,1224,0,3035,1224,1871,0,2
retained,30,carryover,2023-10-05,2341,1224,0,1871,1224,2988,0,3
retained,30,carryover,2023-10-06,1451,1224,0,2988,1224,3215,0,1
retained,30,carryover,2023-10-07,0,0,0,3215,0,3215,0,2
retained,30,carryover,2023-10-08,0,0,0,3215,0,3215,0,3
retained,30,carryover,2023-10-09,0,1224,0,3215,1224,1991,0,4
retained,30,carryover,2023-10-10,3,1224,0,1991,1224,770,0,4
retained,30,carryover,2023-10-11,319,1224,0,770,1089,0,135,0
retained,30,carryover,2023-10-12,1938,1224,0,0,1224,714,0,0
retained,30,carryover,2023-10-13,1900,1224,0,714,1224,1390,0,0
retained,30,carryover,2023-10-14,0,0,0,1390,0,1390,0,1
retained,30,carryover,2023-10-15,0,0,0,1390,0,1390,0,2
retained,30,carryover,2023-10-16,1273,1224,0,1390,1224,1439,0,3
retained,30,carryover,2023-10-17,720,1224,0,1439,1224,935,0,1
retained,30,carryover,2023-10-18,815,1224,0,935,1224,526,0,0
retained,30,carryover,2023-10-19,531,1224,0,526,1057,0,167,0
retained,30,carryover,2023-10-20,0,1224,0,0,0,0,1224,0
retained,30,carryover,2023-10-21,0,0,0,0,0,0,0,0
retained,30,carryover,2023-10-22,0,0,0,0,0,0,0,0
retained,30,carryover,2023-10-23,0,1224,0,0,0,0,1224,0
retained,30,carryover,2023-10-24,0,1224,0,0,0,0,1224,0
retained,30,carryover,2023-10-25,0,1224,0,0,0,0,1224,0
retained,30,carryover,2023-10-26,0,1224,0,0,0,0,1224,0
retained,30,carryover,2023-10-27,0,1224,0,0,0,0,1224,0
retained,30,carryover,2023-10-28,0,0,0,0,0,0,0,0
retained,30,carryover,2023-10-29,0,0,0,0,0,0,0,0
