policy,basis,extra_workers,ot_limit,temp_limit,lead_days,workers,absent,present_workers,rate,service_days,arrivals,completed_on_time,completed_late,overdue_unfinished,pending_not_due,on_time_unit_share,target_met,peak_backlog,backlog_unit_days,regular_cost,overtime_cost,temporary_cost,committed_future_temp_shifts,committed_future_temp_cost,total_cost,overtime_paid_hours,temporary_shifts
extra0_ot0_temps4,retained,0,0,4,3,6,2,4,40.0,2,228195,79030,149165,0,0,0.34632660663029424,False,5847,574305,238656.0,0.0,15600.0,0,0,254256.0,0,65
extra0_ot0_temps4,retained,0,0,4,1,6,0,6,50.0,2,228195,227273,922,0,0,0.9959595959595959,True,3871,36240,238656.0,0.0,2400.0,0,0,241056.0,0,10
extra0_ot0_temps4,retained,0,0,4,3,6,0,6,50.0,2,228195,224578,3617,0,0,0.9841495212427968,True,3871,39504,238656.0,0.0,0.0,0,0,238656.0,0,0
extra0_ot0_temps4,retained,0,0,4,1,6,1,5,50.0,2,228195,225802,2393,0,0,0.9895133548061965,True,4211,60875,238656.0,0.0,4560.0,0,0,243216.0,0,19
extra0_ot0_temps4,retained,0,0,4,3,6,1,5,50.0,2,228195,220533,7662,0,0,0.966423453625189,True,4211,77716,238656.0,0.0,0.0,0,0,238656.0,0,0
extra0_ot0_temps4,retained,0,0,4,1,6,2,4,50.0,2,228195,223361,4834,0,0,0.9788163631981419,True,4551,122686,238656.0,0.0,12720.0,0,0,251376.0,0,53
extra0_ot0_temps4,retained,0,0,4,3,6,2,4,50.0,2,228195,193271,34924,0,0,0.8469554547645654,False,4551,217964,238656.0,0.0,480.0,0,0,239136.0,0,2
extra0_ot0_temps4,deduplicated_sensitivity,0,0,4,1,6,0,6,30.0,2,215460,206251,9209,0,0,0.9572588879606424,True,4686,142890,238656.0,0.0,20880.0,0,0,259536.0,0,87
extra0_ot0_temps4,deduplicated_sensitivity,0,0,4,3,6,0,6,30.0,2,215460,168636,46824,0,0,0.7826789195210248,False,4686,249170,238656.0,0.0,2160.0,0,0,240816.0,0,9
extra0_ot0_temps4,deduplicated_sensitivity,0,0,4,1,6,1,5,30.0,2,215460,196798,18662,0,0,0.9133853151397011,False,4890,204020,238656.0,0.0,46080.0,0,0,284736.0,0,192
extra0_ot0_temps4,deduplicated_sensitivity,0,0,4,3,6,1,5,30.0,2,215460,82413,133047,0,0,0.3824979114452799,False,5812,527707,238656.0,0.0,21840.0,0,0,260496.0,0,91
extra0_ot0_temps4,deduplicated_sensitivity,0,0,4,1,6,2,4,30.0,2,215460,177802,37658,0,0,0.8252204585537919,False,5094,278905,238656.0,0.0,85920.0,0,0,324576.0,0,358
extra0_ot0_temps4,deduplicated_sensitivity,0,0,4,3,6,2,4,30.0,2,215460,25566,189894,0,0,0.11865775549986077,False,6725,777568,238656.0,0.0,69840.0,0,0,308496.0,0,291
extra0_ot0_temps4,deduplicated_sensitivity,0,0,4,1,6,0,6,40.0,2,215460,212006,3454,0,0,0.9839691822147962,True,4278,54074,238656.0,0.0,4800.0,0,0,243456.0,0,20
extra0_ot0_temps4,deduplicated_sensitivity,0,0,4,3,6,0,6,40.0,2,215460,207265,8195,0,0,0.9619650979300102,True,4278,71957,238656.0,0.0,0.0,0,0,238656.0,0,0
extra0_ot0_temps4,deduplicated_sensitivity,0,0,4,1,6,1,5,40.0,2,215460,210016,5444,0,0,0.974733129119094,True,4550,104556,238656.0,0.0,9600.0,0,0,248256.0,0,40
extra0_ot0_temps4,deduplicated_sensitivity,0,0,4,3,6,1,5,40.0,2,215460,192137,23323,0,0,0.8917525294718277,False,4550,158498,238656.0,0.0,720.0,0,0,239376.0,0,3
extra0_ot0_temps4,deduplicated_sensitivity,0,0,4,1,6,2,4,40.0,2,215460,205706,9754,0,0,0.954729416132925,True,4822,165934,238656.0,0.0,29760.0,0,0,268416.0,0,124
extra0_ot0_temps4,deduplicated_sensitivity,0,0,4,3,6,2,4,40.0,2,215460,100500,114960,0,0,0.46644388749651905,False,5892,454956,238656.0,0.0,8400.0,0,0,247056.0,0,35
extra0_ot0_temps4,deduplicated_sensitivity,0,0,4,1,6,0,6,50.0,2,215460,214539,921,0,0,0.9957254246727931,True,3870,26941,238656.0,0.0,2400.0,0,0,241056.0,0,10
extra0_ot0_temps4,deduplicated_sensitivity,0,0,4,3,6,0,6,50.0,2,215460,211844,3616,0,0,0.9832173025155482,True,3870,30205,238656.0,0.0,0.0,0,0,238656.0,0,0
extra0_ot0_temps4,deduplicated_sensitivity,0,0,4,1,6,1,5,50.0,2,215460,213068,2392,0,0,0.9888981713543117,True,4210,46222,238656.0,0.0,3600.0,0,0,242256.0,0,15
extra0_ot0_temps4,deduplicated_sensitivity,0,0,4,3,6,1,5,50.0,2,215460,208569,6891,0,0,0.9680172653856864,True,4210,59773,238656.0,0.0,0.0,0,0,238656.0,0,0
extra0_ot0_temps4,deduplicated_sensitivity,0,0,4,1,6,2,4,50.0,2,215460,211028,4432,0,0,0.9794300566230391,True,4550,100631,238656.0,0.0,8400.0,0,0,247056.0,0,35
extra0_ot0_temps4,deduplicated_sensitivity,0,0,4,3,6,2,4,50.0,2,215460,192137,23323,0,0,0.8917525294718277,False,4550,158606,238656.0,0.0,480.0,0,0,239136.0,0,2
extra0_ot2_temps0,retained,0,2,0,1,6,0,6,30.0,2,228195,201878,26317,0,0,0.8846731961699423,False,4687,215695,238656.0,19767.0,0.0,0,0,258423.0,599,0
extra0_ot2_temps0,retained,0,2,0,3,6,0,6,30.0,2,228195,201878,26317,0,0,0.8846731961699423,False,4687,215695,238656.0,19767.0,0.0,0,0,258423.0,599,0
extra0_ot2_temps0,retained,0,2,0,1,6,1,5,30.0,2,228195,130398,97797,0,0,0.5714323276145402,False,4891,426916,238656.0,38148.0,0.0,0,0,276804.0,1156,0
extra0_ot2_temps0,retained,0,2,0,3,6,1,5,30.0,2,228195,130398,97797,0,0,0.5714323276145402,False,4891,426916,238656.0,38148.0,0.0,0,0,276804.0,1156,0
extra0_ot2_temps0,retained,0,2,0,1,6,2,4,30.0,2,228195,2740,225455,0,0,0.012007274480159513,False,20418,3841575,238656.0,58773.0,0.0,0,0,297429.0,1781,0
extra0_ot2_temps0,retained,0,2,0,3,6,2,4,30.0,2,228195,2740,225455,0,0,0.012007274480159513,False,20418,3841575,238656.0,58773.0,0.0,0,0,297429.0,1781,0
extra0_ot2_temps0,retained,0,2,0,1,6,0,6,40.0,2,228195,222692,5503,0,0,0.975884660049519,True,4279,76181,238656.0,3597.0,0.0,0,0,242253.0,109,0
extra0_ot2_temps0,retained,0,2,0,3,6,0,6,40.0,2,228195,222692,5503,0,0,0.975884660049519,True,4279,76181,238656.0,3597.0,0.0,0,0,242253.0,109,0
extra0_ot2_temps0,retained,0,2,0,1,6,1,5,40.0,2,228195,214865,13330,0,0,0.9415850478757203,False,4551,159239,238656.0,8019.0,0.0,0,0,246675.0,243,0
extra0_ot2_temps0,retained,0,2,0,3,6,1,5,40.0,2,228195,214865,13330,0,0,0.9415850478757203,False,4551,159239,238656.0,8019.0,0.0,0,0,246675.0,243,0
extra0_ot2_temps0,retained,0,2,0,1,6,2,4,40.0,2,228195,165858,62337,0,0,0.7268257411424439,False,4823,318579,238656.0,23991.0,0.0,0,0,262647.0,727,0
extra0_ot2_temps0,retained,0,2,0,3,6,2,4,40.0,2,228195,165858,62337,0,0,0.7268257411424439,False,4823,318579,238656.0,23991.0,0.0,0,0,262647.0,727,0
extra0_ot2_temps0,retained,0,2,0,1,6,0,6,50.0,2,228195,226108,2087,0,0,0.9908543131970464,True,3871,37464,238656.0,1188.0,0.0,0,0,239844.0,36,0
extra0_ot2_temps0,retained,0,2,0,3,6,0,6,50.0,2,228195,226108,2087,0,0,0.9908543131970464,True,3871,37464,238656.0,1188.0,0.0,0,0,239844.0,36,0
